[ 2024-08-18T09:31:05.101863+0800  INFO ] [init.py] - 配置日志系统...
[ 2024-08-18T09:31:05.102915+0800  INFO ] [init.py] - 将日志输出编码设置为 chcp 65001
[ 2024-08-18T09:31:05.102915+0800  INFO ] [init.py] - 服务器版本:0.55.1
[ 2024-08-18T09:31:05.102915+0800  INFO ] [init.py] - 服务器路径:D:\代码\服务端\纯净版服务端\*
[ 2024-08-18T09:31:05.102915+0800  INFO ] [init.py] - 兼容性检测...
[ 2024-08-18T09:31:05.102915+0800  INFO ] [init.py] - 系统结构: WindowsPEx64bit
[ 2024-08-18T09:31:05.131447+0800  INFO ] [init.py] - 系统操作版本: Windows-10-10.0.22631-SP0
[ 2024-08-18T09:31:05.131447+0800  INFO ] [init.py] - 网络名称: LAPTOP-4Q988EJ0
[ 2024-08-18T09:31:05.131447+0800  INFO ] [init.py] - CPU: AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD
[ 2024-08-18T09:31:05.131447+0800  INFO ] [init.py] - python 版本: 3.11.9 (tags/v3.11.9:de54cf5, Apr  2 2024, 10:12:12) [MSC v.1938 64 bit (AMD64)]
[ 2024-08-18T09:31:05.131447+0800  WARNING ] [init.py] - 尽量使用Python 3.7.4 ，防止出现兼容问题
[ 2024-08-18T09:31:05.132442+0800  INFO ] [init.py] - 检查文件...
[ 2024-08-18T09:31:05.133640+0800  WARNING ] [init.py] - mysql数据库已在内置配置文件中关闭，如需要，请在Sever.yaml文件中把mysql下的initiate设置为true
[ 2024-08-18T09:31:05.133640+0800  INFO ] [server-3.py] - 初始化参数...
[ 2024-08-18T09:31:05.133640+0800  INFO ] [server-3.py] - 初始化函数
[ 2024-08-18T09:31:05.133640+0800  INFO ] [server-3.py] - 加载插件...
[ 2024-08-18T09:31:05.134926+0800  INFO ] [server-3.py] - 等待所有插件加载完成
[ 2024-08-18T09:31:05.134926+0800  INFO ] [server-3.py] - 已通过数量验证(1/2)
[ 2024-08-18T09:31:05.134926+0800  INFO ] [server-3.py] - 已通过加载验证(2/2)
[ 2024-08-18T09:31:05.134926+0800  INFO ] [server-3.py] - 共 0 个插件成功加载，准备开启服务器
[ 2024-08-18T09:31:05.134926+0800  INFO ] [server-3.py] - 服务器将在 33780 端口上开启
[ 2024-08-18T09:31:05.134926+0800  INFO ] [server-3.py] - ip为: 0.0.0.0
[ 2024-08-18T09:31:05.136260+0800  INFO ] [server-3.py] - 总共用时：0.11100387573242188 秒
